vid,sample_name,fid,exp,iou
oaYIWYXFMqY_70000_80000,oaYIWYXFMqY_70000_80000_flute_3,4,The object making shorter sound duration than the handpan.,0
5FYG_Wtet7U_120000_130000,5FYG_Wtet7U_120000_130000_violin_5,0,The entity with the slowest tempo.,0
7pWa_kcAoMg_49000_59000,7pWa_kcAoMg_49000_59000_saxophone_4,0,The object being played by the man.,0
4rerQA8KMzM_10000_20000,4rerQA8KMzM_10000_20000_chair_3,4,The chair being sat by a woman.,0
F1x1ck3OySg_10000_20000,F1x1ck3OySg_10000_20000_guitar_1,0,The object making louder sound than the flute.,0
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_saxophone_4,0,On the left side of the guitar_the saxophone sat.,0
M6vnA5H5R1M_85000_95000,M6vnA5H5R1M_85000_95000_table_3,0,The object with a computer on it.,0
sfv_msSOYTo_10000_20000,sfv_msSOYTo_10000_20000_harp_5,0,The object with the slowest tempo.,0
F1x1ck3OySg_10000_20000,F1x1ck3OySg_10000_20000_flute_4,3,The object emitting a lower sound than the guitar.,0
ds3RKnNB-cY_8000_18000,ds3RKnNB-cY_8000_18000_couch_3,1,The couch seated by the man and the woman.,0
9ZQ-T83pfWk_65000_75000,9ZQ-T83pfWk_65000_75000_flute_1,2,The object making the loudest sound.,0
QNiHU290owU_55000_65000,QNiHU290owU_55000_65000_chair_3,0,The object on the right of the sounding object.,0
hYt2Qf438l8_40000_50000,hYt2Qf438l8_40000_50000_saxophone_1,1,The object making the shortest sound duration.,0
rzKjN2en0H8_830000_840000,rzKjN2en0H8_830000_840000_accordion_4,3,The object with the highest volume.,0
6WUjWMuoEhM_10000_20000,6WUjWMuoEhM_10000_20000_hair-dryer_6,0,The source of the audio.,0
QNiHU290owU_55000_65000,QNiHU290owU_55000_65000_chair_4,0,The object positioned to the right of the sounding marimba.,0
8cmMa2PUnvQ_30000_40000,8cmMa2PUnvQ_30000_40000_chair_5,1,The item beneath the woman.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_piano_2,5,The object making the fastest rhythm.,0
cmNI6jiMKik_46000_56000,cmNI6jiMKik_46000_56000_clarinet_2,0,The object valume is louder over the time.,0
lcOP60uXMeI_198000_208000,lcOP60uXMeI_198000_208000_man_1,2,man.,0
2QKv1iBsTJM_190000_200000,2QKv1iBsTJM_190000_200000_man_4,1,The entity creating sound through instrument play.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_clarinet_2,0,The sounding object on the right of the cello.,0
URZyjoh9lbc_500000_510000,URZyjoh9lbc_500000_510000_dog_6,0,The object to the left of the sounding woman.,0
ETmo71vP7tA_20000_30000,ETmo71vP7tA_20000_30000_clarinet_5,2,The object being played by the woman with long hair_producing sound.,0
tZbh1cwwfv0_222000_232000,tZbh1cwwfv0_222000_232000_piano_1,5,The object making the lowest sound.,0
2VqnoV67t0g_290000_300000,2VqnoV67t0g_290000_300000_marimba_3,0,The marimba played by a woman.,0
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_violin_2,0,The object that making a sound after the handpan.,0
xnx3u5YaNuc_402000_412000,xnx3u5YaNuc_402000_412000_clarinet_4,4,The loudest sounding object.,0
CCFZT2_TJr0_15000_25000,CCFZT2_TJr0_15000_25000_piano_5,4,The object producing a slower rhythm than the clarinet.,0
OGCyzmaM_kE_10000_20000,OGCyzmaM_kE_10000_20000_piano_1,4,The black piano.,0
WSy8ay1avew_60000_70000,WSy8ay1avew_60000_70000_chair_5,2,The object beneath the sounding man playing accordion.,0
zPMUL7f4OOU_420000_430000,zPMUL7f4OOU_420000_430000_violin_3,1,The object making the loudest sound.,0
hYt2Qf438l8_40000_50000,hYt2Qf438l8_40000_50000_saxophone_5,1,The object being played by the man_producing sound.,0
oaYIWYXFMqY_70000_80000,oaYIWYXFMqY_70000_80000_flute_5,4,Positioned to the right of the handpan_the sounding instrument sat.,0
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_clarinet_1,3,The clarinet on the right of the cello.,0
F1x1ck3OySg_10000_20000,F1x1ck3OySg_10000_20000_flute_1,3,The object making lower sound than the guitar.,0
79T0FclnIDw_0_10000,79T0FclnIDw_0_10000_woman_4,1,The sounding entity to the right of the boy.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_clarinet_4,0,The instrument being played by the woman on the right.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_clarinet_3,4,The object that keeps making sound at all times.,0
LdB5pW9c_N4_477000_487000,LdB5pW9c_N4_477000_487000_sitar_1,0,The object making the loudest sound.,0
sV1o5VmL-9g_824000_834000,sV1o5VmL-9g_824000_834000_man_6,0,The man emitted louder sounds than the dog.,0
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_violin_6,0,The object with a shorter duration of sound compared to the handpan.,0
TCcD-vOUtNc_99000_109000,TCcD-vOUtNc_99000_109000_chair_2,10,The chair seated by the woman on the right.,0
OPVEPq_r-vk_211000_221000,OPVEPq_r-vk_211000_221000_saxophone_3,1,The object being played by the man.,0
vifFbeL5rOo_9000_19000,vifFbeL5rOo_9000_19000_clarinet_3,0,The object making a sound by being played by the man standing.,0
WSy8ay1avew_60000_70000,WSy8ay1avew_60000_70000_chair_6,2,The object beneath the sounding accordion.,0
4rerQA8KMzM_10000_20000,4rerQA8KMzM_10000_20000_chair_6,4,The chair being occupied by a woman.,0
tZbh1cwwfv0_222000_232000,tZbh1cwwfv0_222000_232000_piano_4,5,The object emitting the lowest tones.,0
5FYG_Wtet7U_120000_130000,5FYG_Wtet7U_120000_130000_handpan_1,3,The object making a sound by being played by the man in red.,0
rozFJYWrLj0_120000_130000,rozFJYWrLj0_120000_130000_man_4,0,Generating lower tones than the woman_the sounding object sounded.,0
